kda,win
4.5,1
1.33333,0
12,1
1.64286,0
3.25,1
3.6,1
3,0
2.75,1
3.25,0
8.33333,1
0.5,0
1.22222,0
27,1
3,0
8,1
1.22222,0
12.5,1
2.28571,0
2,1
1.28571,0
2,1
1.83333,0
7.5,1
3,1
1.2,0
1.16667,0
8,1
0.333333,1
1.75,0
1.8,1
4.66667,0
0.8,0
5,1
26,1
1.57143,0
1.66667,0
4,1
7,1
0.8,0
4.5,1
4.2,0
16,1
3.75,0
0.6,0
6,1
2.875,1
1.23077,0
11.5,1
1.125,0
10,1
0.875,0
1,1
0.8,0
4.33333,1
3.4,0
3.8,1
1.25,0
1.66667,0
3.75,1
0.75,0
19,1
7.5,1
2.25,0
2.875,0
7,1
3.33333,0
3,1
9.66667,1
1.55556,0
23,1
0.625,0
1.71429,0
10,1
5.25,1
1.625,0
4,1
0.6,0
4,1
0.333333,0
2.875,0
3.16667,1
2.14286,0
4.75,1
1.2,0
1.66667,1
2,0
3,1
6.66667,1
1,0
1.71429,0
2.83333,1
5,1
1.16667,0
9,1
0.777778,0
3,0
2.8,1
1.16667,0
11,1
6.5,1
1.83333,0
2.57143,1
2,0
1.71429,0
6.75,1
2.14286,0
3.4,1
4.33333,1
1,0
2.14286,0
8,1
11,1
1,0
5.5,1
1.33333,0
1.83333,1
2.8,0
4,1
1.66667,0
2,0
11,1
1,0
9,1
4.66667,0
3.5,1
10,1
0.785714,0
1,0
3.33333,1
6,1
2.33333,0
11.5,1
2,0
1.09091,0
3.4,1
6.2,1
5,0
1.85714,0
6.66667,1
13,1
0.25,0
3.6,1
2.125,0
2.2,0
2.83333,1
1.33333,0
9,1
14,1
0.5,0
6,1
0.666667,0
0.6,0
2.66667,1
1.63636,0
3.2,1
13,1
1.36364,0
2.375,0
6,1
0.5,0
2.75,1
1.88889,0
9.5,1
7.33333,1
4,0
10,1
3,0
14,1
1.66667,0
1,0
2.57143,1
1.44444,0
2.75,1
1.66667,0
2.22222,1
9,1
0.5,0
17,1
0.142857,0
0.75,0
5.66667,1
6.4,1
1.45455,0
9.5,1
1.5,0
0.7,0
4.33333,1
2,0
11,1
19,1
1.66667,0
19,1
0.181818,0
1.66667,0
6.5,1
2,0
2.8,1
28,1
1.4,0
3.25,1
2.22222,0
4.83333,1
1.25,0
1.66667,0
5,1
1.8,1
4,0
3,0
3,1
2.375,0
2.71429,1
11.5,1
0.5,0
0.2,0
9,1
1,0
9,1
1.42857,0
7.33333,1
2,0
4.66667,1
2,0
13,1
6,1
2,0
0.4,0
3.66667,1
4,1
1.8,0
3.25,0
4.25,1
4.2,1
0.636364,0
1.42857,0
8,1
2,1
3.33333,0
1.33333,1
